program,id_filiere,filiere_nom,match_type
"Licence en management; 2. Licence en finances; 3. Licence en gestion; 4. Licence marketing; 5. Master en management; 6. Master en finances; 7. Master en gestion; 8. Master marketing HA-2017 RepSEN/Ensup-priv/HA006-2017 1. Licence en banque, assurance, finance; 2. Licence en gestion et stratégie d'entreprise; 3. licence en gestion des ressources humaines; 4. Licence en génie logistique; 5. Licence en en management des affaires internationales; 6. Licence en marketing, management et communication; 7. Licence en marketing management communication et relations publiques; 8. Licence en qualité, hygiène, sécurité, environnement (QHSE); 9. Licence en journalisme et communication; 10. Licence en informatique et réseaux; 11. Licence en en management juridique et fiscal; 12. Master en banque, assurance, finance; 13. Master en gestion et stratégie d'entreprise; Programmes non couverts par l’Habilitation institutionnelle mais couverts par des agréments (provisoire(s), extension(s), définitif(s)) 1. Licence en informatique, option: méthodes informatiques appliquées à la gestion (MIAGE); 2. Licence en télécommunication, option: système réseau et télécommunication (SRT); 3. Licence en informatique, option: marketing digital et réseaux sociaux; 4. Licence en informatique, option: génie logiciel; 5. Master en informatique, option: méthodes informatiques appliquées à la gestion; 6. Master en télécommunication, option: système réseau et télécommunication (SRT); 7. Master en informatique, option: marketing digital et réseaux sociaux; 8. Master en informatique, option: génie logiciel. 1. Master monnaie banque assurance finance, option: banque privée internationale; 2. Master monnaie banque assurance finance, option: assurance et réassurance; 3. Master monnaie banque assurance finance, option: finance d'entreprise et d'orientation stratégique; 4. Master monnaie banque assurance finance, option:finance internationale et marchés boursiers; 5. Master droit des affaires, option: ingénierie juridique et fiscale; 6. Master gestion, option: audit et contrôle de gestion; 7. Master gestion, option: gestion financière et comptable des entreprises.",1,Informatique,name
"Licence en management; 2. Licence en finances; 3. Licence en gestion; 4. Licence marketing; 5. Master en management; 6. Master en finances; 7. Master en gestion; 8. Master marketing HA-2017 RepSEN/Ensup-priv/HA006-2017 1. Licence en banque, assurance, finance; 2. Licence en gestion et stratégie d'entreprise; 3. licence en gestion des ressources humaines; 4. Licence en génie logistique; 5. Licence en en management des affaires internationales; 6. Licence en marketing, management et communication; 7. Licence en marketing management communication et relations publiques; 8. Licence en qualité, hygiène, sécurité, environnement (QHSE); 9. Licence en journalisme et communication; 10. Licence en informatique et réseaux; 11. Licence en en management juridique et fiscal; 12. Master en banque, assurance, finance; 13. Master en gestion et stratégie d'entreprise; Programmes non couverts par l’Habilitation institutionnelle mais couverts par des agréments (provisoire(s), extension(s), définitif(s)) 1. Licence en informatique, option: méthodes informatiques appliquées à la gestion (MIAGE); 2. Licence en télécommunication, option: système réseau et télécommunication (SRT); 3. Licence en informatique, option: marketing digital et réseaux sociaux; 4. Licence en informatique, option: génie logiciel; 5. Master en informatique, option: méthodes informatiques appliquées à la gestion; 6. Master en télécommunication, option: système réseau et télécommunication (SRT); 7. Master en informatique, option: marketing digital et réseaux sociaux; 8. Master en informatique, option: génie logiciel. 1. Master monnaie banque assurance finance, option: banque privée internationale; 2. Master monnaie banque assurance finance, option: assurance et réassurance; 3. Master monnaie banque assurance finance, option: finance d'entreprise et d'orientation stratégique; 4. Master monnaie banque assurance finance, option:finance internationale et marchés boursiers; 5. Master droit des affaires, option: ingénierie juridique et fiscale; 6. Master gestion, option: audit et contrôle de gestion; 7. Master gestion, option: gestion financière et comptable des entreprises.",4,Droit,name
"Licence en management; 2. Licence en finances; 3. Licence en gestion; 4. Licence marketing; 5. Master en management; 6. Master en finances; 7. Master en gestion; 8. Master marketing HA-2017 RepSEN/Ensup-priv/HA006-2017 1. Licence en banque, assurance, finance; 2. Licence en gestion et stratégie d'entreprise; 3. licence en gestion des ressources humaines; 4. Licence en génie logistique; 5. Licence en en management des affaires internationales; 6. Licence en marketing, management et communication; 7. Licence en marketing management communication et relations publiques; 8. Licence en qualité, hygiène, sécurité, environnement (QHSE); 9. Licence en journalisme et communication; 10. Licence en informatique et réseaux; 11. Licence en en management juridique et fiscal; 12. Master en banque, assurance, finance; 13. Master en gestion et stratégie d'entreprise; Programmes non couverts par l’Habilitation institutionnelle mais couverts par des agréments (provisoire(s), extension(s), définitif(s)) 1. Licence en informatique, option: méthodes informatiques appliquées à la gestion (MIAGE); 2. Licence en télécommunication, option: système réseau et télécommunication (SRT); 3. Licence en informatique, option: marketing digital et réseaux sociaux; 4. Licence en informatique, option: génie logiciel; 5. Master en informatique, option: méthodes informatiques appliquées à la gestion; 6. Master en télécommunication, option: système réseau et télécommunication (SRT); 7. Master en informatique, option: marketing digital et réseaux sociaux; 8. Master en informatique, option: génie logiciel. 1. Master monnaie banque assurance finance, option: banque privée internationale; 2. Master monnaie banque assurance finance, option: assurance et réassurance; 3. Master monnaie banque assurance finance, option: finance d'entreprise et d'orientation stratégique; 4. Master monnaie banque assurance finance, option:finance internationale et marchés boursiers; 5. Master droit des affaires, option: ingénierie juridique et fiscale; 6. Master gestion, option: audit et contrôle de gestion; 7. Master gestion, option: gestion financière et comptable des entreprises.",5,Gestion,name
"Licence en management; 2. Licence en finances; 3. Licence en gestion; 4. Licence marketing; 5. Master en management; 6. Master en finances; 7. Master en gestion; 8. Master marketing HA-2017 RepSEN/Ensup-priv/HA006-2017 1. Licence en banque, assurance, finance; 2. Licence en gestion et stratégie d'entreprise; 3. licence en gestion des ressources humaines; 4. Licence en génie logistique; 5. Licence en en management des affaires internationales; 6. Licence en marketing, management et communication; 7. Licence en marketing management communication et relations publiques; 8. Licence en qualité, hygiène, sécurité, environnement (QHSE); 9. Licence en journalisme et communication; 10. Licence en informatique et réseaux; 11. Licence en en management juridique et fiscal; 12. Master en banque, assurance, finance; 13. Master en gestion et stratégie d'entreprise; Programmes non couverts par l’Habilitation institutionnelle mais couverts par des agréments (provisoire(s), extension(s), définitif(s)) 1. Licence en informatique, option: méthodes informatiques appliquées à la gestion (MIAGE); 2. Licence en télécommunication, option: système réseau et télécommunication (SRT); 3. Licence en informatique, option: marketing digital et réseaux sociaux; 4. Licence en informatique, option: génie logiciel; 5. Master en informatique, option: méthodes informatiques appliquées à la gestion; 6. Master en télécommunication, option: système réseau et télécommunication (SRT); 7. Master en informatique, option: marketing digital et réseaux sociaux; 8. Master en informatique, option: génie logiciel. 1. Master monnaie banque assurance finance, option: banque privée internationale; 2. Master monnaie banque assurance finance, option: assurance et réassurance; 3. Master monnaie banque assurance finance, option: finance d'entreprise et d'orientation stratégique; 4. Master monnaie banque assurance finance, option:finance internationale et marchés boursiers; 5. Master droit des affaires, option: ingénierie juridique et fiscale; 6. Master gestion, option: audit et contrôle de gestion; 7. Master gestion, option: gestion financière et comptable des entreprises.",6,Comptable,name
"Licence en management; 2. Licence en finances; 3. Licence en gestion; 4. Licence marketing; 5. Master en management; 6. Master en finances; 7. Master en gestion; 8. Master marketing HA-2017 RepSEN/Ensup-priv/HA006-2017 1. Licence en banque, assurance, finance; 2. Licence en gestion et stratégie d'entreprise; 3. licence en gestion des ressources humaines; 4. Licence en génie logistique; 5. Licence en en management des affaires internationales; 6. Licence en marketing, management et communication; 7. Licence en marketing management communication et relations publiques; 8. Licence en qualité, hygiène, sécurité, environnement (QHSE); 9. Licence en journalisme et communication; 10. Licence en informatique et réseaux; 11. Licence en en management juridique et fiscal; 12. Master en banque, assurance, finance; 13. Master en gestion et stratégie d'entreprise; Programmes non couverts par l’Habilitation institutionnelle mais couverts par des agréments (provisoire(s), extension(s), définitif(s)) 1. Licence en informatique, option: méthodes informatiques appliquées à la gestion (MIAGE); 2. Licence en télécommunication, option: système réseau et télécommunication (SRT); 3. Licence en informatique, option: marketing digital et réseaux sociaux; 4. Licence en informatique, option: génie logiciel; 5. Master en informatique, option: méthodes informatiques appliquées à la gestion; 6. Master en télécommunication, option: système réseau et télécommunication (SRT); 7. Master en informatique, option: marketing digital et réseaux sociaux; 8. Master en informatique, option: génie logiciel. 1. Master monnaie banque assurance finance, option: banque privée internationale; 2. Master monnaie banque assurance finance, option: assurance et réassurance; 3. Master monnaie banque assurance finance, option: finance d'entreprise et d'orientation stratégique; 4. Master monnaie banque assurance finance, option:finance internationale et marchés boursiers; 5. Master droit des affaires, option: ingénierie juridique et fiscale; 6. Master gestion, option: audit et contrôle de gestion; 7. Master gestion, option: gestion financière et comptable des entreprises.",7,Marketing,name
"Licence en management; 2. Licence en finances; 3. Licence en gestion; 4. Licence marketing; 5. Master en management; 6. Master en finances; 7. Master en gestion; 8. Master marketing HA-2017 RepSEN/Ensup-priv/HA006-2017 1. Licence en banque, assurance, finance; 2. Licence en gestion et stratégie d'entreprise; 3. licence en gestion des ressources humaines; 4. Licence en génie logistique; 5. Licence en en management des affaires internationales; 6. Licence en marketing, management et communication; 7. Licence en marketing management communication et relations publiques; 8. Licence en qualité, hygiène, sécurité, environnement (QHSE); 9. Licence en journalisme et communication; 10. Licence en informatique et réseaux; 11. Licence en en management juridique et fiscal; 12. Master en banque, assurance, finance; 13. Master en gestion et stratégie d'entreprise; Programmes non couverts par l’Habilitation institutionnelle mais couverts par des agréments (provisoire(s), extension(s), définitif(s)) 1. Licence en informatique, option: méthodes informatiques appliquées à la gestion (MIAGE); 2. Licence en télécommunication, option: système réseau et télécommunication (SRT); 3. Licence en informatique, option: marketing digital et réseaux sociaux; 4. Licence en informatique, option: génie logiciel; 5. Master en informatique, option: méthodes informatiques appliquées à la gestion; 6. Master en télécommunication, option: système réseau et télécommunication (SRT); 7. Master en informatique, option: marketing digital et réseaux sociaux; 8. Master en informatique, option: génie logiciel. 1. Master monnaie banque assurance finance, option: banque privée internationale; 2. Master monnaie banque assurance finance, option: assurance et réassurance; 3. Master monnaie banque assurance finance, option: finance d'entreprise et d'orientation stratégique; 4. Master monnaie banque assurance finance, option:finance internationale et marchés boursiers; 5. Master droit des affaires, option: ingénierie juridique et fiscale; 6. Master gestion, option: audit et contrôle de gestion; 7. Master gestion, option: gestion financière et comptable des entreprises.",9,Génie Logiciel,name
"Licence en management; 2. Licence en finances; 3. Licence en gestion; 4. Licence marketing; 5. Master en management; 6. Master en finances; 7. Master en gestion; 8. Master marketing HA-2017 RepSEN/Ensup-priv/HA006-2017 1. Licence en banque, assurance, finance; 2. Licence en gestion et stratégie d'entreprise; 3. licence en gestion des ressources humaines; 4. Licence en génie logistique; 5. Licence en en management des affaires internationales; 6. Licence en marketing, management et communication; 7. Licence en marketing management communication et relations publiques; 8. Licence en qualité, hygiène, sécurité, environnement (QHSE); 9. Licence en journalisme et communication; 10. Licence en informatique et réseaux; 11. Licence en en management juridique et fiscal; 12. Master en banque, assurance, finance; 13. Master en gestion et stratégie d'entreprise; Programmes non couverts par l’Habilitation institutionnelle mais couverts par des agréments (provisoire(s), extension(s), définitif(s)) 1. Licence en informatique, option: méthodes informatiques appliquées à la gestion (MIAGE); 2. Licence en télécommunication, option: système réseau et télécommunication (SRT); 3. Licence en informatique, option: marketing digital et réseaux sociaux; 4. Licence en informatique, option: génie logiciel; 5. Master en informatique, option: méthodes informatiques appliquées à la gestion; 6. Master en télécommunication, option: système réseau et télécommunication (SRT); 7. Master en informatique, option: marketing digital et réseaux sociaux; 8. Master en informatique, option: génie logiciel. 1. Master monnaie banque assurance finance, option: banque privée internationale; 2. Master monnaie banque assurance finance, option: assurance et réassurance; 3. Master monnaie banque assurance finance, option: finance d'entreprise et d'orientation stratégique; 4. Master monnaie banque assurance finance, option:finance internationale et marchés boursiers; 5. Master droit des affaires, option: ingénierie juridique et fiscale; 6. Master gestion, option: audit et contrôle de gestion; 7. Master gestion, option: gestion financière et comptable des entreprises.",64,Management,name
"Licence en management; 2. Licence en finances; 3. Licence en gestion; 4. Licence marketing; 5. Master en management; 6. Master en finances; 7. Master en gestion; 8. Master marketing HA-2017 RepSEN/Ensup-priv/HA006-2017 1. Licence en banque, assurance, finance; 2. Licence en gestion et stratégie d'entreprise; 3. licence en gestion des ressources humaines; 4. Licence en génie logistique; 5. Licence en en management des affaires internationales; 6. Licence en marketing, management et communication; 7. Licence en marketing management communication et relations publiques; 8. Licence en qualité, hygiène, sécurité, environnement (QHSE); 9. Licence en journalisme et communication; 10. Licence en informatique et réseaux; 11. Licence en en management juridique et fiscal; 12. Master en banque, assurance, finance; 13. Master en gestion et stratégie d'entreprise; Programmes non couverts par l’Habilitation institutionnelle mais couverts par des agréments (provisoire(s), extension(s), définitif(s)) 1. Licence en informatique, option: méthodes informatiques appliquées à la gestion (MIAGE); 2. Licence en télécommunication, option: système réseau et télécommunication (SRT); 3. Licence en informatique, option: marketing digital et réseaux sociaux; 4. Licence en informatique, option: génie logiciel; 5. Master en informatique, option: méthodes informatiques appliquées à la gestion; 6. Master en télécommunication, option: système réseau et télécommunication (SRT); 7. Master en informatique, option: marketing digital et réseaux sociaux; 8. Master en informatique, option: génie logiciel. 1. Master monnaie banque assurance finance, option: banque privée internationale; 2. Master monnaie banque assurance finance, option: assurance et réassurance; 3. Master monnaie banque assurance finance, option: finance d'entreprise et d'orientation stratégique; 4. Master monnaie banque assurance finance, option:finance internationale et marchés boursiers; 5. Master droit des affaires, option: ingénierie juridique et fiscale; 6. Master gestion, option: audit et contrôle de gestion; 7. Master gestion, option: gestion financière et comptable des entreprises.",68,Gestion des ressources humaines,name
"Licence en management; 2. Licence en finances; 3. Licence en gestion; 4. Licence marketing; 5. Master en management; 6. Master en finances; 7. Master en gestion; 8. Master marketing HA-2017 RepSEN/Ensup-priv/HA006-2017 1. Licence en banque, assurance, finance; 2. Licence en gestion et stratégie d'entreprise; 3. licence en gestion des ressources humaines; 4. Licence en génie logistique; 5. Licence en en management des affaires internationales; 6. Licence en marketing, management et communication; 7. Licence en marketing management communication et relations publiques; 8. Licence en qualité, hygiène, sécurité, environnement (QHSE); 9. Licence en journalisme et communication; 10. Licence en informatique et réseaux; 11. Licence en en management juridique et fiscal; 12. Master en banque, assurance, finance; 13. Master en gestion et stratégie d'entreprise; Programmes non couverts par l’Habilitation institutionnelle mais couverts par des agréments (provisoire(s), extension(s), définitif(s)) 1. Licence en informatique, option: méthodes informatiques appliquées à la gestion (MIAGE); 2. Licence en télécommunication, option: système réseau et télécommunication (SRT); 3. Licence en informatique, option: marketing digital et réseaux sociaux; 4. Licence en informatique, option: génie logiciel; 5. Master en informatique, option: méthodes informatiques appliquées à la gestion; 6. Master en télécommunication, option: système réseau et télécommunication (SRT); 7. Master en informatique, option: marketing digital et réseaux sociaux; 8. Master en informatique, option: génie logiciel. 1. Master monnaie banque assurance finance, option: banque privée internationale; 2. Master monnaie banque assurance finance, option: assurance et réassurance; 3. Master monnaie banque assurance finance, option: finance d'entreprise et d'orientation stratégique; 4. Master monnaie banque assurance finance, option:finance internationale et marchés boursiers; 5. Master droit des affaires, option: ingénierie juridique et fiscale; 6. Master gestion, option: audit et contrôle de gestion; 7. Master gestion, option: gestion financière et comptable des entreprises.",69,Génie logistique,name
"Licence en management; 2. Licence en finances; 3. Licence en gestion; 4. Licence marketing; 5. Master en management; 6. Master en finances; 7. Master en gestion; 8. Master marketing HA-2017 RepSEN/Ensup-priv/HA006-2017 1. Licence en banque, assurance, finance; 2. Licence en gestion et stratégie d'entreprise; 3. licence en gestion des ressources humaines; 4. Licence en génie logistique; 5. Licence en en management des affaires internationales; 6. Licence en marketing, management et communication; 7. Licence en marketing management communication et relations publiques; 8. Licence en qualité, hygiène, sécurité, environnement (QHSE); 9. Licence en journalisme et communication; 10. Licence en informatique et réseaux; 11. Licence en en management juridique et fiscal; 12. Master en banque, assurance, finance; 13. Master en gestion et stratégie d'entreprise; Programmes non couverts par l’Habilitation institutionnelle mais couverts par des agréments (provisoire(s), extension(s), définitif(s)) 1. Licence en informatique, option: méthodes informatiques appliquées à la gestion (MIAGE); 2. Licence en télécommunication, option: système réseau et télécommunication (SRT); 3. Licence en informatique, option: marketing digital et réseaux sociaux; 4. Licence en informatique, option: génie logiciel; 5. Master en informatique, option: méthodes informatiques appliquées à la gestion; 6. Master en télécommunication, option: système réseau et télécommunication (SRT); 7. Master en informatique, option: marketing digital et réseaux sociaux; 8. Master en informatique, option: génie logiciel. 1. Master monnaie banque assurance finance, option: banque privée internationale; 2. Master monnaie banque assurance finance, option: assurance et réassurance; 3. Master monnaie banque assurance finance, option: finance d'entreprise et d'orientation stratégique; 4. Master monnaie banque assurance finance, option:finance internationale et marchés boursiers; 5. Master droit des affaires, option: ingénierie juridique et fiscale; 6. Master gestion, option: audit et contrôle de gestion; 7. Master gestion, option: gestion financière et comptable des entreprises.",70,Management des affaires internationales,name
